POINT_X         POINT_Y        POINT_Z
-89.09439855670 30.03637146560 0
-88.93879578210 29.90894708840 0
-88.93956505140 29.89995869270 0
-88.94033415330 29.89097010870 0
-87.86960205570 29.68058747540 0
-87.87048510170 29.67160247980 0
-87.87136795630 29.66261729000 0
-88.09962688130 29.66135699650 0
-87.88342627620 29.64541613860 0
-87.24561921500 29.59584568050 0
-87.89459971920 29.63719906740 0
-87.26712906360 29.58852149500 0
-87.25684886760 29.58769331840 0
-87.24656887680 29.58686416850 0
-87.23628909140 29.58603404550 0
-87.89547959650 29.62821296490 0
-87.29891482410 29.58201811640 0
-87.28863511660 29.58119293140 0
-87.27835561350 29.58036677320 0
-87.26807631510 29.57953964190 0
-87.25779722160 29.57871153740 0
-87.24751833320 29.57788245990 0
-87.23723965010 29.57705240920 0
-87.89635928320 29.61922666750 0
-87.31013737280 29.57385999040 0
-87.29985856360 29.57303585040 0
-87.28957995850 29.57221073730 0
-87.27930155780 29.57138465120 0
-87.26902336170 29.57055759200 0
-87.25874537040 29.56972955970 0
-87.24846758420 29.56890055440 0
-87.33163583080 29.56652267290 0
-87.32135771650 29.56570055080 0
-87.31107980580 29.56487745580 0
-87.30080209890 29.56405338760 0
-87.29052459600 29.56322834650 0
-87.28024729750 29.56240233230 0
-87.26997020340 29.56157534510 0
-87.25969331420 29.56074738500 0
-87.24941662990 29.55991845190 0
-87.34285307120 29.55836087530 0
-87.33257585570 29.55753979790 0
-87.32229884360 29.55671774760 0
-87.31202203500 29.55589472420 0
-87.30174543010 29.55507072780 0
-87.29146902920 29.55424575850 0
-87.28119283260 29.55341981630 0
-87.27091684040 29.55259290120 0
-87.26064105290 29.55176501310 0
-87.25036547040 29.55093615230 0
-87.24009009300 29.55010631850 0
-87.89899720060 29.59226660420 0
-87.34379179080 29.54937773180 0
-87.33351567730 29.54855672600 0
-87.32323976710 29.54773474720 0
-87.31296406040 29.54691179550 0
-87.30268855730 29.54608787090 0
-87.29241325820 29.54526297340 0
-87.28213816330 29.54443710310 0
-87.27186327270 29.54361025990 0
-87.26158858680 29.54278244400 0
-87.25131410570 29.54195365530 0
-87.24103982970 29.54112389380 0
-88.70272299690 29.64020928430 0
-87.92044796370 29.58481333630 0
-87.34473030740 29.54039439110 0
-87.33445529570 29.53957345670 0
-87.32418048720 29.53875154950 0
-87.31390588210 29.53792866940 0
-87.30363148070 29.53710481650 0
-87.29335728310 29.53627999090 0
-87.28308328950 29.53545419240 0
-87.27280950040 29.53462742130 0
-87.26253591570 29.53379967740 0
-87.25226253590 29.53297096080 0
-87.24198936110 29.53214127150 0
-88.70351535950 29.63121703720 0
-87.93160958700 29.57659130540 0
-87.34566862100 29.53141085300 0
-87.33539471090 29.53058999000 0
-87.32512100390 29.52976815430 0
-87.31484750020 29.52894534590 0
-87.30457420010 29.52812156470 0
-87.29430110380 29.52729681080 0
-87.28402821150 29.52647108420 0
-87.27375552350 29.52564438500 0
-87.26348303990 29.52481671310 0
-87.25321076110 29.52398806860 0
-87.24293868730 29.52315845150 0
-88.70430755040 29.62222459620 0
-88.18964560230 29.58641980120 0
-88.17935694420 29.58567884650 0
-88.16906846990 29.58493691740 0
-88.15878017960 29.58419401370 0
-87.93248481710 29.56760363450 0
-87.92220082350 29.56683832380 0
-87.34660673190 29.52242711730 0
-87.33633392310 29.52160632580 0
-87.32606131730 29.52078456160 0
-87.31578891480 29.51996182470 0
-87.30551671580 29.51913811520 0
-87.29524472050 29.51831343300 0
-87.28497292920 29.51748777820 0
-87.27470134200 29.51666115090 0
-87.26442995940 29.51583355100 0
-87.25415878130 29.51500497860 0
-87.24388780820 29.51417543370 0
-88.70509956970 29.61323196130 0
-88.21106865970 29.57890914990 0
-88.20078074120 29.57817020880 0
-88.19049300590 29.57743029320 0
-88.18020545410 29.57668940320 0
-88.16991808590 29.57594753880 0
-88.15963090170 29.57520470000 0
-88.14934390160 29.57446088680 0
-87.93335985780 29.55861576750 0
-87.92307696890 29.55785052350 0
-87.34754463990 29.51344318390 0
-87.33727293220 29.51262246370 0
-87.32700142740 29.51180077100 0
-87.31673012580 29.51097810570 0
-87.30645902770 29.51015446780 0
-87.29618813320 29.50932985730 0
-87.28591744270 29.50850427430 0
-87.27564695620 29.50767771890 0
-87.26537667410 29.50685019100 0
-87.25510659670 29.50602169060 0
-87.24483672400 29.50519221780 0
-87.23456705640 29.50436177250 0
-88.70589141730 29.60423913230 0
-88.22220066320 29.57065721970 0
-88.21191366780 29.56991931750 0
-88.20162685540 29.56918044080 0
-88.19134022610 29.56844058980 0
-88.18105378020 29.56769976440 0
-88.17076751800 29.56695796470 0
-88.16048143960 29.56621519070 0
-88.15019554530 29.56547144230 0
-88.13990983530 29.56472671980 0
-87.63614076360 29.52704227850 0
-87.35875315470 29.50527872880 0
-87.34848234520 29.50445905260 0
-87.33821173830 29.50363840380 0
-87.32794133430 29.50281678250 0
-87.31767113340 29.50199418870 0
-87.30740113600 29.50117062230 0
-87.29713134210 29.50034608360 0
-87.28686175200 29.49952057240 0
-87.27659236600 29.49869408880 0
-87.26632318430 29.49786663270 0
-87.25605420710 29.49703820440 0
-87.24578543480 29.49620880360 0
-87.23551686740 29.49537843060 0
-87.22524850520 29.49454708520 0
-87.21498034850 29.49371476760 0
-87.20471239750 29.49288147770 0
-88.22304438250 29.56166712730 0
-88.21275849300 29.56092928940 0
-88.20247278640 29.56019047720 0
-88.19218726300 29.55945069070 0
-88.18190192280 29.55870992990 0
-88.17161676620 29.55796819490 0
-88.16133179340 29.55722548560 0
