POINT_X         POINT_Y        POINT_Z
-87.87682801500 29.66283891550 0
-87.87771008930 29.65385349190 0
-87.24079212010 29.59526903820 0
-87.88976582060 29.63665128830 0
-87.26230224530 29.58794579730 0
-87.25202216880 29.58711716330 0
-87.24174229750 29.58628755620 0
-87.23146263180 29.58545697600 0
-87.89064621550 29.62766521350 0
-87.30436795640 29.58226848960 0
-87.29408816370 29.58144382050 0
-87.28380857530 29.58061817820 0
-87.27352919140 29.57979156270 0
-87.26325001230 29.57896397410 0
-87.25297103820 29.57813541240 0
-87.24269226930 29.57730587760 0
-87.23241370590 29.57647536980 0
-87.89152641970 29.61867894370 0
-87.31559000310 29.57410980570 0
-87.30531110890 29.57328618160 0
-87.29503241860 29.57246158440 0
-87.28475393260 29.57163601400 0
-87.27447565110 29.57080947060 0
-87.26419757430 29.56998195420 0
-87.25391970240 29.56915346470 0
-87.89240643330 29.60969247890 0
-87.32680984490 29.56594980840 0
-87.31653184920 29.56512722910 0
-87.30625405730 29.56430367680 0
-87.29597646930 29.56347915140 0
-87.28569908550 29.56265365300 0
-87.27542190610 29.56182718160 0
-87.26514493130 29.56099973720 0
-87.25486816140 29.56017131990 0
-87.24459159660 29.55934192970 0
-87.89328625650 29.60070581870 0
-87.88299852470 29.59993686020 0
-87.33802748200 29.55778849770 0
-87.32775038520 29.55696696310 0
-87.31747349170 29.55614445550 0
-87.30719680180 29.55532097490 0
-87.29692031590 29.55449652140 0
-87.28664403400 29.55367109490 0
-87.27636795650 29.55284469550 0
-87.26609208350 29.55201732320 0
-87.25581641530 29.55118897800 0
-87.24554095220 29.55035966000 0
-87.90445270590 29.59248688050 0
-87.34924291500 29.54962587400 0
-87.33896671700 29.54880538390 0
-87.32869072210 29.54798392080 0
-87.31841493050 29.54716148480 0
-87.30813934250 29.54633807600 0
-87.29786395830 29.54551369420 0
-87.28758877810 29.54468833960 0
-87.27731380220 29.54386201210 0
-87.26703903090 29.54303471190 0
-87.25676446420 29.54220643880 0
-87.24649010250 29.54137719300 0
-88.70818359150 29.64038922430 0
-88.69788376120 29.63969741640 0
-87.91561694450 29.58426663850 0
-87.90533104280 29.58349976230 0
-87.35018084500 29.54064249140 0
-87.33990574880 29.53982207280 0
-87.32963085560 29.53900068120 0
-87.31935616570 29.53817831680 0
-87.30908167940 29.53735497960 0
-87.29880739670 29.53653066960 0
-87.28853331800 29.53570538690 0
-87.27825944350 29.53487913130 0
-87.26798577350 29.53405190310 0
-87.25771230810 29.53322370210 0
-87.24743904770 29.53239452850 0
-88.70897536410 29.63139694110 0
-88.69867664340 29.63070519380 0
-87.93706414860 29.57680995410 0
-87.92677897260 29.57604509290 0
-87.91649398630 29.57527925760 0
-87.34084457760 29.53083856420 0
-87.33057078590 29.53001724420 0
-87.32029719750 29.52919495140 0
-87.31002381250 29.52837168580 0
-87.29975063110 29.52754744750 0
-87.28947765370 29.52672223660 0
-87.27920488040 29.52589605290 0
-87.26893231140 29.52506889670 0
-87.25865994710 29.52424076770 0
-87.24838778760 29.52341166620 0
-87.23811583320 29.52258159210 0
-88.70976696510 29.62240446420 0
-88.69946935370 29.62171277740 0
-88.17452418760 29.58514365160 0
-88.16423582280 29.58440126440 0
-88.15394764210 29.58365790270 0
-87.93793879070 29.56782224390 0
-87.92765471970 29.56705744940 0
-87.34178320340 29.52185485810 0
-87.33151051300 29.52103360950 0
-87.32123802580 29.52021138820 0
-87.31096574190 29.51938819430 0
-87.30069366160 29.51856402770 0
-87.29042178520 29.51773888850 0
-87.28015011280 29.51691277680 0
-87.26987864480 29.51608569240 0
-87.25960738130 29.51525763550 0
-87.24933632250 29.51442860610 0
-87.23906546880 29.51359860420 0
-88.71055839450 29.61341179340 0
-88.20623609290 29.57837535550 0
-88.19594828360 29.57763595640 0
-88.18566065760 29.57689558280 0
-88.17537321510 29.57615423470 0
-88.16508595650 29.57541191230 0
-88.15479888180 29.57466861550 0
-88.14451199150 29.57392434430 0
-87.92853027730 29.55806960980 0
-87.36326541330 29.51451039070 0
-87.35299341850 29.51369115880 0
-87.34272162630 29.51287095430 0
-87.33245003700 29.51204977710 0
-87.32217865070 29.51122762730 0
-87.31190746770 29.51040450500 0
-87.30163648830 29.50958041010 0
-87.29136571270 29.50875534260 0
-87.28109514100 29.50792930270 0
-87.27082477360 29.50710229020 0
-87.26055461070 29.50627430530 0
-87.25028465240 29.50544534800 0
-87.24001489920 29.50461541830 0
-88.71134965250 29.60441892840 0
-88.21736850500 29.57012390970 0
-88.20708161870 29.56938554950 0
-88.19679491540 29.56864621480 0
-88.18650839540 29.56790590570 0
-88.17622205890 29.56716462240 0
-88.16593590610 29.56642236470 0
-88.15564993720 29.56567913270 0
-88.14536415260 29.56493492640 0
-87.93968750720 29.54984623520 0
-87.92940564550 29.54908157400 0
-87.64159126940 29.52727577250 0
-87.56966148110 29.52170508660 0
-87.35393053770 29.50470698580 0
-87.34365984640 29.50388685250 0
-87.33338935790 29.50306574670 0
-87.32311907230 29.50224366840 0
-87.31284899000 29.50142061760 0
-87.30257911120 29.50059659430 0
-87.29230943610 29.49977159860 0
-87.28203996490 29.49894563050 0
-87.27177069790 29.49811868990 0
-87.26150163530 29.49729077700 0
-87.25123277740 29.49646189170 0
-87.24096412430 29.49563203410 0
-87.23069567640 29.49480120410 0
-87.22042743370 29.49396940190 0
-87.21015939670 29.49313662740 0
-88.71214073900 29.59542586920 0
-88.21821274190 29.56113384370 0
-88.20792696140 29.56039554780 0
-88.19764136400 29.55965627760 0
-88.18735594970 29.55891603310 0
