AL, 09, 2016082818,   , BEST,   0, 238N,  815W,  30, 1009, TD,   0,    ,    0,    0,    0,    0, 1010,  100,  80,  40,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 015, TRANSITIONED, alA92016 to al092016, 
AL, 09, 2016082900,   , BEST,   0, 234N,  823W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  120,  50,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016082906,   , BEST,   0, 234N,  835W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  70,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016082912,   , BEST,   0, 236N,  841W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  60,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016082918,   , BEST,   0, 238N,  846W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  40,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083000,   , BEST,   0, 238N,  852W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  35,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083006,   , BEST,   0, 237N,  864W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1010,  160,  60,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083012,   , BEST,   0, 239N,  868W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083018,   , BEST,   0, 242N,  871W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083100,   , BEST,   0, 242N,  877W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  200,  60,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083106,   , BEST,   0, 244N,  880W,  35, 1004, TS,  34, NEQ,   40,   60,    0,    0, 1009,  200,  50,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083112,   , BEST,   0, 247N,  879W,  40, 1003, TS,  34, NEQ,   60,  100,    0,    0, 1009,  220,  50,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
AL, 09, 2016083118,   , BEST,   0, 253N,  878W,  45, 1002, TS,  34, NEQ,  110,  110,   60,    0, 1010,  240,  50,  50,   0,   L,   0,    ,   0,   0,    HERMINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 015, 
