114632
1,  -98.0000 , 5.7500
2,  -97.8750 , 5.7500
3,  -97.7500 , 5.7500
4,  -97.6250 , 5.7500
5,  -97.5000 , 5.7500
6,  -97.3750 , 5.7500
7,  -97.2500 , 5.7500
8,  -97.1250 , 5.7500
9,  -97.0000 , 5.7500
10,  -96.8750 , 5.7500
11,  -96.7500 , 5.7500
12,  -96.6250 , 5.7500
13,  -96.5000 , 5.7500
14,  -96.3750 , 5.7500
15,  -96.2500 , 5.7500
16,  -96.1250 , 5.7500
17,  -96.0000 , 5.7500
18,  -95.8750 , 5.7500
19,  -95.7500 , 5.7500
20,  -95.6250 , 5.7500
21,  -95.5000 , 5.7500
22,  -95.3750 , 5.7500
23,  -95.2500 , 5.7500
24,  -95.1250 , 5.7500
25,  -95.0000 , 5.7500
26,  -94.8750 , 5.7500
27,  -94.7500 , 5.7500
28,  -94.6250 , 5.7500
29,  -94.5000 , 5.7500
30,  -94.3750 , 5.7500
31,  -94.2500 , 5.7500
32,  -94.1250 , 5.7500
33,  -94.0000 , 5.7500
34,  -93.8750 , 5.7500
35,  -93.7500 , 5.7500
36,  -93.6250 , 5.7500
37,  -93.5000 , 5.7500
38,  -93.3750 , 5.7500
39,  -93.2500 , 5.7500
40,  -93.1250 , 5.7500
41,  -93.0000 , 5.7500
42,  -92.8750 , 5.7500
43,  -92.7500 , 5.7500
44,  -92.6250 , 5.7500
45,  -92.5000 , 5.7500
46,  -92.3750 , 5.7500
47,  -92.2500 , 5.7500
48,  -92.1250 , 5.7500
49,  -92.0000 , 5.7500
50,  -91.8750 , 5.7500
51,  -91.7500 , 5.7500
52,  -91.6250 , 5.7500
53,  -91.5000 , 5.7500
54,  -91.3750 , 5.7500
55,  -91.2500 , 5.7500
56,  -91.1250 , 5.7500
57,  -91.0000 , 5.7500
58,  -90.8750 , 5.7500
59,  -90.7500 , 5.7500
60,  -90.6250 , 5.7500
61,  -90.5000 , 5.7500
62,  -90.3750 , 5.7500
63,  -90.2500 , 5.7500
64,  -90.1250 , 5.7500
65,  -90.0000 , 5.7500
66,  -89.8750 , 5.7500
67,  -89.7500 , 5.7500
68,  -89.6250 , 5.7500
69,  -89.5000 , 5.7500
70,  -89.3750 , 5.7500
71,  -89.2500 , 5.7500
72,  -89.1250 , 5.7500
73,  -89.0000 , 5.7500
74,  -88.8750 , 5.7500
75,  -88.7500 , 5.7500
76,  -88.6250 , 5.7500
77,  -88.5000 , 5.7500
78,  -88.3750 , 5.7500
79,  -88.2500 , 5.7500
80,  -88.1250 , 5.7500
81,  -88.0000 , 5.7500
82,  -87.8750 , 5.7500
83,  -87.7500 , 5.7500
84,  -87.6250 , 5.7500
85,  -87.5000 , 5.7500
86,  -87.3750 , 5.7500
87,  -87.2500 , 5.7500
88,  -87.1250 , 5.7500
89,  -87.0000 , 5.7500
90,  -86.8750 , 5.7500
91,  -86.7500 , 5.7500
92,  -86.6250 , 5.7500
93,  -86.5000 , 5.7500
94,  -86.3750 , 5.7500
95,  -86.2500 , 5.7500
96,  -86.1250 , 5.7500
97,  -86.0000 , 5.7500
98,  -85.8750 , 5.7500
99,  -85.7500 , 5.7500
100,  -85.6250 , 5.7500
101,  -85.5000 , 5.7500
102,  -85.3750 , 5.7500
103,  -85.2500 , 5.7500
104,  -85.1250 , 5.7500
105,  -85.0000 , 5.7500
106,  -84.8750 , 5.7500
107,  -84.7500 , 5.7500
108,  -84.6250 , 5.7500
109,  -84.5000 , 5.7500
110,  -84.3750 , 5.7500
111,  -84.2500 , 5.7500
112,  -84.1250 , 5.7500
113,  -84.0000 , 5.7500
114,  -83.8750 , 5.7500
115,  -83.7500 , 5.7500
116,  -83.6250 , 5.7500
117,  -83.5000 , 5.7500
118,  -83.3750 , 5.7500
119,  -83.2500 , 5.7500
120,  -83.1250 , 5.7500
121,  -83.0000 , 5.7500
122,  -82.8750 , 5.7500
123,  -82.7500 , 5.7500
124,  -82.6250 , 5.7500
125,  -82.5000 , 5.7500
126,  -82.3750 , 5.7500
127,  -82.2500 , 5.7500
128,  -82.1250 , 5.7500
129,  -82.0000 , 5.7500
130,  -81.8750 , 5.7500
131,  -81.7500 , 5.7500
132,  -81.6250 , 5.7500
133,  -81.5000 , 5.7500
134,  -81.3750 , 5.7500
135,  -81.2500 , 5.7500
136,  -81.1250 , 5.7500
137,  -81.0000 , 5.7500
138,  -80.8750 , 5.7500
139,  -80.7500 , 5.7500
140,  -80.6250 , 5.7500
141,  -80.5000 , 5.7500
142,  -80.3750 , 5.7500
143,  -80.2500 , 5.7500
144,  -80.1250 , 5.7500
145,  -80.0000 , 5.7500
146,  -79.8750 , 5.7500
147,  -79.7500 , 5.7500
148,  -79.6250 , 5.7500
149,  -79.5000 , 5.7500
150,  -79.3750 , 5.7500
151,  -79.2500 , 5.7500
152,  -79.1250 , 5.7500
153,  -79.0000 , 5.7500
154,  -78.8750 , 5.7500
155,  -78.7500 , 5.7500
156,  -78.6250 , 5.7500
157,  -78.5000 , 5.7500
158,  -78.3750 , 5.7500
159,  -78.2500 , 5.7500
160,  -78.1250 , 5.7500
161,  -78.0000 , 5.7500
162,  -77.8750 , 5.7500
163,  -77.7500 , 5.7500
164,  -77.6250 , 5.7500
165,  -77.5000 , 5.7500
166,  -77.3750 , 5.7500
167,  -77.2500 , 5.7500
168,  -77.1250 , 5.7500
169,  -77.0000 , 5.7500
170,  -76.8750 , 5.7500
171,  -76.7500 , 5.7500
172,  -76.6250 , 5.7500
173,  -76.5000 , 5.7500
174,  -76.3750 , 5.7500
