AL, 11, 2017090818,   , BEST,   0, 220N,  760W, 135,  925, HU,  34, NEQ,  160,  120,   80,  150, 1008,  180,  30, 165,   0,   L,   0,    ,   0,   0,       IRMA, D, 12, NEQ,  540,  270,  120,  480, genesis-num, 023, 
AL, 11, 2017090818,   , BEST,   0, 220N,  760W, 135,  925, HU,  50, NEQ,  100,   90,   50,   80, 1008,  180,  30, 165,   0,   L,   0,    ,   0,   0,       IRMA, D, 12, NEQ,  540,  270,  120,  480, genesis-num, 023, 
AL, 11, 2017090818,   , BEST,   0, 220N,  760W, 135,  925, HU,  64, NEQ,   60,   60,   30,   60, 1008,  180,  30, 165,   0,   L,   0,    ,   0,   0,       IRMA, D, 12, NEQ,  540,  270,  120,  480, genesis-num, 023, 
