AL, 01, 2019052018,   , BEST,   0, 281N,  686W,  35, 1008, SS,  34, NEQ,   60,    0,    0,    0, 1012,  150,  60,  45,   0,   L,   0,    ,   0,   0,     ANDREA, M,  0,    ,    0,    0,    0,    0, genesis-num, 002, TRANSITIONED, alA02019 to al012019, 
AL, 01, 2019052100,   , BEST,   0, 291N,  688W,  35, 1006, SS,  34, NEQ,   60,    0,    0,    0, 1014,  120,  50,  45,   0,   L,   0,    ,   0,   0,     ANDREA, M,  0,    ,    0,    0,    0,    0, genesis-num, 002, 
