AL, 03, 2017062018,   , BEST,   0, 257N,  906W,  40,  999, TS,  34, NEQ,  180,  120,    0,   60, 1007,  210, 150,  50,   0,   L,   0,    ,   0,   0,      CINDY, M, 12, NEQ,  270,  270,    0,    0, genesis-num, 003, 
AL, 03, 2017062100,   , BEST,   0, 263N,  909W,  50,  997, TS,  34, NEQ,  240,  120,   50,  120, 1007,  200,  80,  60,   0,   L,   0,    ,   0,   0,      CINDY, M, 12, NEQ,  270,  270,    0,   90, genesis-num, 003, 
AL, 03, 2017062100,   , BEST,   0, 263N,  909W,  50,  997, TS,  50, NEQ,    0,    0,    0,   80, 1007,  200,  80,  60,   0,   L,   0,    ,   0,   0,      CINDY, M, 12, NEQ,  270,  270,    0,   90, genesis-num, 003, 
